GATE_MW_LM: 271.3016,-1475.579,133.553,-1260.174,1,0
GATE_LM_MW: 1891.771,-401.0688,1389.552,-236.1796,1,0
LM_C09: -1234.198,627.9212,-851.9468,408.0753,1,1
LM_E01: -1555.55,669.958,-872.6819,3449.748,1,0
LM_A16: -1072.198,734.9212,-630.9468,510.0754,1,1
LM_I01: -773.1982,717.9212,-531.9468,412.0753,1,1
LM_A15: -463.1982,723.9212,-210.947,505.0754,1,1
LM_G01: -140.1985,578.9212,-99.94686,293.0753,1,3
LM_G02: -134.1982,226.9212,15.05304,110.0752,1,3
LM_AI: -209.6985,641.4212,-78.44696,646.8253,0,3
LM_D07: 174.8017,475.9212,223.0532,323.0753,1,3
LM_C04: 485.4048,432.381,333.5714,315.3095,1,1
LM_M04: 988.4048,431.381,766.5714,315.3095,1,1
LM_M03: 1343.405,380.381,995.5714,287.3095,1,1
LM_A06: 1513.405,330.381,1117.572,254.3095,1,1
LM_A14: 989.4047,300.381,729.5714,194.3095,1,1
LM_M06: 1156.405,432.381,882.5714,314.3095,1,1
LM_M05: 819.4049,432.381,655.5714,314.3095,1,1
LM_M07: 1162.405,201.381,842.5714,166.3095,1,1
LM_F01: 1317.816,-45.01096,963.7609,-236.9199,1,1
LM_D01: 1616.816,-519.0109,1069.761,-348.9198,1,1
LM_B01: 369.8019,-1304.079,202.053,-1154.924,1,1
LM_B02: 369.8019,-1121.079,201.053,-949.9247,1,1
LM_B03: 411.6265,-953.1886,127.2143,-828.8149,1,1
LM_J01: 871.1257,-946.0456,444.0713,-822.8508,1,1
LM_J03: -141.5501,-8.042028,-104.6821,-96.25298,1,1
LM_B04: -39.37343,-848.1886,-177.7859,-755.8149,1,1
LM_F02: -420.1985,-683.0788,-399.9469,-711.9247,1,1
LM_D05: -726.2539,-609.4304,-517.2617,-532.3229,1,2
LM_T01: -927.1984,305.9214,-618.9468,67.0751,1,2
LM_T02: -630.1984,236.9212,-502.9469,71.0751,1,2
LM_T03: -648.1986,-42.07875,-521.9468,-126.925,1,2
LM_T04: -482.1985,-328.0786,-305.9471,-379.9247,1,2
LM_T05: -1011.198,-363.0786,-640.947,-417.9247,1,2
LM_A04: -1245.198,-137.0789,-763.9468,-239.9246,1,2
LM_G09: -1165.198,40.92139,-760.9471,-123.925,1,2
LM_D03: -324.1984,208.9211,-186.947,138.0751,1,2
LM_S02: 210.1997,-685.3545,167.3803,-646.0654,1,0
LM_S03: 120.1998,-172.3546,-109.6197,-203.0655,1,0
LM_S06: -1219.198,752.9212,-717.947,521.0754,1,0
LM_S10: -462.1982,826.9212,-202.9469,620.0753,1,0
OffScreenDen_LM: -1058.698,-69.57874,-1450.448,-164.1749,1,1
Connection: GATE_MW_LM,LM_B01,36,19,3,6,1,3
Connection: GATE_LM_MW,LM_D01,2,9,138,30,2,1
Connection: LM_C09,LM_A16,151,32,43,3,1,3
Connection: LM_C09,LM_E01,4,17,39,23,2,0
Connection: LM_C09,LM_T01,152,17,4,143,0,2
Connection: LM_A16,LM_S06,4,26,31,20,2,0
Connection: LM_A16,LM_I01,43,13,4,62,0,2
Connection: LM_I01,LM_A15,144,66,3,21,0,2
Connection: LM_A15,LM_S10,43,32,30,26,1,0
Connection: LM_A15,LM_G01,44,3,1,109,0,1
Connection: LM_G01,LM_AI,74,120,76,31,3,1
Connection: LM_G01,LM_D07,150,40,2,16,3,2
Connection: LM_G01,LM_G02,73,4,22,73,3,1
Connection: LM_G02,LM_J03,26,3,80,65,3,1
Connection: LM_D07,LM_C04,45,15,2,29,0,2
Connection: LM_C04,LM_M05,140,31,3,31,1,2
Connection: LM_M04,LM_M06,43,31,3,30,0,2
Connection: LM_M04,LM_M05,5,3,40,4,2,3
Connection: LM_M04,LM_A14,25,2,43,31,3,0
Connection: LM_M03,LM_M06,2,32,44,17,2,0
Connection: LM_M03,LM_A06,45,2,2,19,0,2
Connection: LM_A14,LM_M07,26,2,4,25,3,2
Connection: LM_M06,LM_M07,30,2,20,32,3,1
Connection: LM_M07,LM_F01,42,30,9,211,0,2
Connection: LM_F01,LM_D01,44,20,20,29,0,1
Connection: LM_B01,LM_B02,43,75,43,3,1,3
Connection: LM_B02,LM_B03,21,32,58,10,1,3
Connection: LM_B03,LM_J01,139,56,4,54,0,2
Connection: LM_B03,LM_B04,4,54,142,18,2,0
Connection: LM_J03,LM_D03,4,54,38,2,2,3
Connection: LM_J03,LM_S03,143,8,16,15,0,2
Connection: LM_B04,LM_S02,142,71,17,16,1,2
Connection: LM_B04,LM_F02,15,61,96,29,2,0
Connection: LM_F02,LM_D05,5,117,45,31,1,1
Connection: LM_F02,LM_T04,18,115,10,5,1,3
Connection: LM_D05,LM_T05,26,31,88,6,1,3
Connection: LM_T01,LM_T02,38,53,4,57,0,2
Connection: LM_T01,LM_G09,22,8,93,73,3,1
Connection: LM_T02,LM_D03,145,52,2,22,0,2
Connection: LM_T02,LM_T03,71,3,80,69,3,1
Connection: LM_T03,LM_G09,2,62,98,40,2,0
Connection: LM_T03,LM_T04,134,6,26,104,3,1
Connection: LM_T05,LM_A04,17,110,45,5,1,0
Connection: LM_A04,LM_G09,2,31,12,38,1,2
