GATE_GW_SL: 2370.529,127.9348,2011.129,200.7979,1,0
GATE_HI_GW: -2150.47,184.9346,-1605.871,151.7979,1,0
GATE_DS_GW: -1701.471,-365.0652,-1324.871,-860.202,0,0
GW_S05: -1564.591,-389.0341,-1215.778,-876.1786,1,0
GW_S04: 2306.945,17.10551,1970.129,79.7979,1,0
GW_S03: -2015.055,182.1052,-1463.871,283.798,1,0
GW_C06: -343.587,73.40057,-343.3814,571.6332,2,1
GW_S02: -168.1274,59.69798,-189.0028,621.8771,2,0
GW_E02: 172.4128,189.4004,-190.3813,750.6332,2,1
GW_B02: 701.4133,146.4004,396.6187,649.6332,2,2
GW_C03: 1022.413,177.4004,573.6191,738.6332,2,2
GW_C05: 1489.413,172.4004,923.6188,740.6332,2,1
GW_A24: 1804.302,170.717,1240.057,740.0566,2,1
GW_B05: 841.4128,-3.599352,533.6191,514.6332,2,2
GW_A20: 994.4235,56.00932,647.6351,598.7303,2,1
GW_A21: 1145.19,56.17953,766.4222,599.2834,2,1
GW_S07: 711.5757,18.61807,426.8954,602.6213,2,0
GW_A19: 550.4133,86.40063,247.6189,629.6332,2,1
GW_B01: -1784.587,101.4006,-1455.381,135.6335,1,1
GW_A01: -1538.587,95.40076,-1196.381,135.6335,1,1
GW_C01: -1226.587,109.4005,-1060.381,147.6335,1,1
GW_B04: -896.5867,35.40063,-620.3809,60.63379,1,1
GW_A12: -872.5867,165.4004,-604.3809,299.6336,1,1
GW_A05: -1387.587,-11.59935,-1078.381,-139.3664,2,1
GW_A08: -1165.587,-36.59937,-955.3809,-138.3666,2,1
GW_A06: -951.5867,-39.59937,-820.3809,-137.3664,2,1
GW_S01: -938.5867,34.40067,-809.3809,-2.366333,2,0
GW_A07: -690.5872,-38.59937,-621.3809,-135.3664,2,1
GW_A10: -514.5869,-47.59934,-461.3813,-136.3664,2,1
GW_D01: -492.587,71.40057,-412.3815,140.6335,1,1
GW_B03: -106.5871,20.40063,54.61879,42.63356,1,2
GW_A14: -86.58708,-127.5993,59.61879,-113.3664,1,2
GW_B07: 10.41333,54.40074,271.6183,-495.3664,0,2
GW_A04: -124.587,28.40064,125.6188,-481.3664,0,1
GW_S06: -130.1355,-79.69308,131.5398,-611.1561,0,0
GW_C08: 355.4135,-188.5996,254.6189,-711.3668,0,2
GW_C02: 216.4128,80.40057,210.6184,136.6335,1,1
GW_A13: 548.4133,55.40063,610.6191,61.63363,1,1
GW_A11: 551.4133,154.4004,590.6191,291.6336,1,1
GW_S08: 551.8403,58.50541,606.0372,176.7491,0,0
GW_B06: 674.4133,-67.59935,763.6202,-8.366275,1,2
GW_A22: 833.8232,-9.178041,892.4277,77.5099,1,1
GW_A23: 1002.683,-5.31812,1022.528,75.70979,1,1
GW_C11: 1316.252,-4.341282,1149.692,77.36699,1,1
GW_C04: 1708.413,125.4006,1406.62,200.6335,1,1
GW_B08: 2127.414,126.4006,1748.62,182.6336,1,0
GW_B09: -1472.587,-386.5992,-1208.381,-940.3668,0,1
GW_D02: -1004.586,-395.5992,-938.3809,-946.3668,0,1
GW_C07: -854.5867,-155.5996,-673.3812,-819.3668,0,1
GW_C10: -468.5872,-386.5992,-420.3814,-943.3668,0,1
GW_E01: 177.4128,-383.5992,-24.38128,-937.3668,0,2
GW_C09: 663.4133,-385.5992,552.6191,-1049.365,0,2
OffScreenDen_GW: -196.5869,472.4008,-495.3813,-234.3665,1,1
Connection: GATE_GW_SL,GW_B08,2,9,105,9,2,0
Connection: GATE_GW_SL,GW_S04,11,5,32,24,3,1
Connection: GATE_HI_GW,GW_S03,45,11,15,12,0,2
Connection: GATE_HI_GW,GW_B01,36,5,5,12,3,2
Connection: GATE_DS_GW,GW_S05,45,13,16,21,0,2
Connection: GATE_DS_GW,GW_B09,36,5,3,12,3,2
Connection: GW_C06,GW_E02,43,108,4,28,0,2
Connection: GW_C06,GW_S02,45,58,18,18,0,2
Connection: GW_C06,GW_A10,3,24,44,24,2,0
Connection: GW_E02,GW_B02,258,21,4,55,0,2
Connection: GW_B02,GW_C03,49,59,8,27,0,2
Connection: GW_B02,GW_B05,49,25,10,63,0,2
Connection: GW_B02,GW_A19,4,14,45,12,2,0
Connection: GW_C03,GW_C05,151,17,4,18,0,2
Connection: GW_C03,GW_A20,89,13,43,32,3,1
Connection: GW_C05,GW_A24,146,30,3,30,0,2
Connection: GW_B05,GW_A20,45,64,4,23,0,2
Connection: GW_B05,GW_S07,4,44,36,5,2,0
Connection: GW_B05,GW_C09,8,14,48,113,2,0
Connection: GW_A20,GW_A21,27,16,13,16,3,2
Connection: GW_A19,GW_A11,7,32,17,14,1,3
Connection: GW_B01,GW_A01,104,16,6,19,0,2
Connection: GW_A01,GW_C01,49,23,3,19,0,2
Connection: GW_A01,GW_A05,46,8,10,27,0,1
Connection: GW_C01,GW_B04,151,16,4,56,0,2
Connection: GW_B04,GW_A12,19,67,4,3,2,3
Connection: GW_B04,GW_D01,49,54,10,14,0,2
Connection: GW_A12,GW_C07,40,2,35,115,3,1
Connection: GW_A05,GW_A08,48,8,5,11,0,2
Connection: GW_A08,GW_A06,49,10,5,10,0,2
Connection: GW_A06,GW_S01,32,29,24,11,2,3
Connection: GW_A06,GW_A07,46,29,5,26,0,2
Connection: GW_A07,GW_A10,49,22,2,25,0,2
Connection: GW_A10,GW_D01,24,31,93,5,1,3
Connection: GW_D01,GW_B03,197,17,4,57,0,2
Connection: GW_B03,GW_C02,48,56,5,20,0,2
Connection: GW_B03,GW_B07,48,25,21,11,0,2
Connection: GW_B03,GW_A14,31,2,21,27,3,1
Connection: GW_B07,GW_A04,4,47,46,23,3,0
Connection: GW_A04,GW_S06,38,18,38,24,3,1
Connection: GW_A04,GW_C08,33,4,5,27,3,1
Connection: GW_C08,GW_B06,142,30,5,9,0,2
Connection: GW_C08,GW_C09,133,8,8,114,3,1
Connection: GW_C02,GW_A13,149,16,9,16,0,2
Connection: GW_A13,GW_A11,22,24,37,5,1,2
Connection: GW_A13,GW_B06,38,4,3,66,3,2
Connection: GW_A11,GW_S08,57,2,38,24,3,0
Connection: GW_B06,GW_A22,46,62,7,23,0,3
Connection: GW_A22,GW_A23,49,20,4,20,0,2
Connection: GW_A23,GW_C11,50,20,4,19,0,2
Connection: GW_C11,GW_C04,137,31,10,6,1,3
Connection: GW_C04,GW_B08,149,27,4,28,0,2
Connection: GW_B09,GW_D02,98,15,2,17,0,2
Connection: GW_D02,GW_C07,136,32,7,7,1,3
Connection: GW_D02,GW_C10,197,17,5,12,0,2
Connection: GW_C10,GW_E01,150,11,8,6,0,3
Connection: GW_E01,GW_C09,261,18,4,56,0,2
