Palette: 36
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.2
overseersMin: 0
overseersMax: 4
playerGuideOverseerSpawnChance: 0.1
Subregion: Intake System
Subregion: Gravity Pump
Subregion: Water Reservoir
Room Setting Templates: SurfaceSystems, GravityPump
Room_Attr: GATE_SL_IS: BigEel-1,
Room_Attr: IS_B01: BigEel-1,SeaDrake-3,
Room_Attr: IS_B02: SeaDrake-3,
Room_Attr: IS_Drain: BigEel-1,
Room_Attr: IS_V06: BigEel-1,
Room_Attr: IS_V04: StandardGroundCreature-1,Slugcat-1,LizardTemplate-1,PinkLizard-1,GreenLizard-1,BlueLizard-1,YellowLizard-1,WhiteLizard-1,RedLizard-1,BlackLizard-1,Salamander-1,CyanLizard-1,Fly-1,Leech-1,SeaLeech-1,Snail-1,Vulture-1,GarbageWorm-1,LanternMouse-1,CicadaA-1,CicadaB-1,Spider-1,JetFish-1,BigEel-1,Deer-1,TubeWorm-1,DaddyLongLegs-1,BrotherLongLegs-1,TentaclePlant-1,PoleMimic-1,MirosBird-1,TempleGuard-1,Centipede-1,RedCentipede-1,Centiwing-1,SmallCentipede-1,Scavenger-1,Overseer-1,VultureGrub-1,EggBug-1,BigSpider-1,SpitterSpider-1,SmallNeedleWorm-1,BigNeedleWorm-1,DropBug-1,KingVulture-1,Hazer-1,LightWorm-1,CrossBat-1,WalkerBeast-1,GreyLizard-1,SeaDrake-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,
Room_Attr: IS_V01: BigEel-1,
Room_Attr: IS_G04: BigEel-1,SeaDrake-2,
Room_Attr: IS_B03: BigEel-1,
Room_Attr: IS_A05: BigEel-1,
Room_Attr: IS_B05: BigEel-1,
Room_Attr: IS_V07: StandardGroundCreature-1,Slugcat-1,LizardTemplate-1,PinkLizard-1,GreenLizard-1,BlueLizard-1,YellowLizard-1,WhiteLizard-1,RedLizard-1,BlackLizard-1,Salamander-1,CyanLizard-1,Fly-1,Leech-1,SeaLeech-1,Snail-1,Vulture-1,GarbageWorm-1,LanternMouse-1,CicadaA-1,CicadaB-1,Spider-1,JetFish-1,BigEel-1,Deer-1,TubeWorm-1,DaddyLongLegs-1,BrotherLongLegs-1,TentaclePlant-1,PoleMimic-1,MirosBird-1,TempleGuard-1,Centipede-1,RedCentipede-1,Centiwing-1,SmallCentipede-1,Scavenger-1,Overseer-1,VultureGrub-1,EggBug-1,BigSpider-1,SpitterSpider-1,SmallNeedleWorm-1,BigNeedleWorm-1,DropBug-1,KingVulture-1,Hazer-1,LightWorm-1,CrossBat-1,WalkerBeast-1,GreyLizard-1,SeaDrake-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,StandardGroundCreature-1,
Room_Attr: IS_V05: BigEel-1,SeaDrake-3,
Room_Attr: IS_B04: BigEel-1,
Room_Attr: IS_CORE: SeaDrake-2,
Room_Attr: IS_F01a: BigEel-1,
Room_Attr: IS_F03: BigEel-2,
Room_Attr: IS_F04: BigEel-2,
Room_Attr: IS_G01: BigEel-1,
Room_Attr: IS_G02: BigEel-1,
Room_Attr: IS_G03: BigEel-1,SeaDrake-2,
Room_Attr: IS_S01: BigEel-1,
