GATE_IS_MW: 1469.357,547.7896,1126.803,459.4358,1,0
GATE_SL_IS: -977.3057,174.242,-568.379,215.6902,1,0
GATE_UW_IS: -701.8964,1060.813,-920.2632,917.5353,1,0
IS_A05: 167.8939,70.04198,182.2206,133.8903,1,1
IS_B01: -758.3058,117.242,-455.3792,155.6902,1,1
IS_B02: -384.3059,52.24185,-259.3792,39.69015,1,1
IS_B03: -85.10602,103.042,75.22083,122.8902,1,1
IS_B04: 186.5189,214.1671,234.3458,261.5151,1,1
IS_B05: 392.2967,102.2781,403.6791,155.1819,1,1
IS_CORE: -392.7031,-660.722,-248.3209,-671.8179,1,2
IS_Drain: -369.072,-111.5437,-144.9114,-69.70713,1,1
IS_F01: -459.072,-88.54379,-808.9114,-75.70713,2,1
IS_F01a: -405.072,-366.5436,-150.9114,-413.7072,2,2
IS_F03: -555.072,365.4562,-808.9114,221.293,2,1
IS_F04: -557.072,882.4569,-808.9114,671.293,2,1
IS_G01: 284.8372,-504.9981,191.725,-472.8888,1,2
IS_G02: 761.9282,-552.5439,514.0887,-528.7073,1,2
IS_G03: -86.07208,-585.5439,81.08856,-591.707,1,2
IS_G04: -700.8964,-520.1876,-354.2631,-520.4647,1,2
IS_S01: -683.8718,-4.253182,-382.018,36.25,1,0
IS_S02: 988.1036,-579.1876,718.7369,-500.4648,1,0
IS_S05: -410.0977,538.5169,-695.9698,527.2084,2,0
IS_S06: 74.12807,326.747,208.9819,371.2501,1,0
IS_V01: -570.8964,-280.1876,-337.2631,-211.4646,1,0
IS_V02: 1168.929,55.45623,886.0886,-128.7072,1,1
IS_V03: 1291.929,441.4564,906.0886,404.2928,1,1
IS_V04: 35.29694,-277.0586,-124.2631,-217.4646,1,3
IS_V05: 1052.104,-386.1877,646.7369,-330.4648,1,0
IS_V06: -48.89658,-112.1877,-30.26299,-100.4648,1,0
IS_V07: 716.5938,-278.3125,491.1563,-232.5938,1,3
IS_V08: 544.1036,-31.18769,593.7369,16.53524,1,1
OffScreenDen_IS: -988.3057,287.2421,-162.3792,356.6902,1,1
Connection: GATE_IS_MW,IS_V03,11,5,96,29,3,1
Connection: GATE_SL_IS,IS_B01,36,5,4,18,3,2
Connection: GATE_UW_IS,IS_F04,43,23,4,143,1,2
Connection: IS_A05,IS_B05,97,24,8,7,0,2
Connection: IS_A05,IS_B03,4,12,38,18,2,1
Connection: IS_B01,IS_B02,95,17,18,58,0,2
Connection: IS_B02,IS_B03,147,66,8,21,0,2
Connection: IS_B02,IS_S01,5,15,30,15,2,0
Connection: IS_B02,IS_Drain,82,5,22,28,3,1
Connection: IS_B04,IS_S06,11,29,23,10,1,3
Connection: IS_B04,IS_B05,95,15,14,30,3,1
Connection: IS_B05,IS_V08,39,8,23,32,0,1
Connection: IS_CORE,IS_F01a,74,101,24,2,1,3
Connection: IS_CORE,IS_G03,148,56,5,12,0,2
Connection: IS_CORE,IS_G04,3,55,40,10,2,0
Connection: IS_Drain,IS_V06,43,13,7,19,0,2
Connection: IS_F01,IS_F03,7,101,38,4,2,0
Connection: IS_F01,IS_F01a,23,4,5,66,3,2
Connection: IS_F03,IS_F04,44,186,42,11,1,0
Connection: IS_F03,IS_S05,46,144,24,12,0,3
Connection: IS_G01,IS_G02,146,25,12,55,0,1
Connection: IS_G01,IS_G03,3,5,39,54,2,0
Connection: IS_G02,IS_V05,82,69,17,6,1,3
Connection: IS_G02,IS_S02,95,26,19,16,0,2
Connection: IS_G04,IS_V01,29,99,11,1,1,3
Connection: IS_V01,IS_V04,94,9,2,21,0,2
Connection: IS_V02,IS_V03,23,212,9,4,1,3
Connection: IS_V02,IS_V05,4,2,133,30,2,0
Connection: IS_V04,IS_V06,125,29,77,2,1,3
Connection: IS_V04,IS_V07,292,19,4,26,0,2
Connection: IS_V05,IS_V07,25,32,138,8,1,3
Connection: IS_V07,IS_V08,67,29,23,1,1,3
