GATE_SI_LF: 1107.335,1104.88,879.2846,1043.495,1,0
GATE_LF_SB: -2481.665,238.879,-1983.716,328.4957,1,0
GATE_LF_SU: 1408.338,-560.1214,1246.284,-468.5043,1,0
GATE_LF_FS: -2262.596,484.7885,-1734.058,523.2692,1,0
LF_S04: -2419.028,138.5833,-1940.17,219.6777,1,0
LF_C05: 1243.725,970.1013,995.0515,866.2977,1,1
LF_A07: 1243.237,746.3449,993.0976,740.7971,1,1
LF_F02: 1193.237,472.3452,898.0982,424.7968,1,1
LF_A04: 995.2349,259.3452,827.0982,297.7968,1,1
LF_S02: 1317.237,197.3454,954.0982,281.7968,1,0
LF_A06: 1384.237,249.3452,1085.096,293.7968,1,1
LF_E04: 588.2352,362.3451,125.0979,396.7968,1,1
LF_A03: 167.235,252.3452,11.09806,279.7968,1,1
LF_H01: -482.7651,363.3452,-847.9018,400.7968,1,1
LF_A15: -564.2504,279.0995,-520.6142,270.5445,1,1
LF_S06: -563.2192,174.4852,-520.324,143.9407,1,0
LF_A05: -1123.763,255.3457,-922.9018,176.7969,1,1
LF_J01: -1558.763,309.3452,-1470.904,323.7968,1,1
LF_C03: -2172.762,236.3452,-1857.904,320.7968,1,1
LF_Z01: -1957.596,475.7885,-1613.058,513.2692,1,1
LF_D03: 1596.237,270.3452,1325.096,124.7969,1,1
LF_E02: 879.2349,195.3454,780.0982,152.7969,0,1
LF_E03: 103.2349,195.3454,136.0979,163.7971,0,1
LF_A10: -364.7654,196.3454,-100.9021,149.7969,0,1
LF_D02: -629.7651,131.3454,-400.9022,47.79646,2,1
LF_D06: -857.7637,-179.6546,-611.9018,-245.2031,2,1
LF_S01: -912.7629,20.3454,-731.9018,22.79662,2,0
LF_E01: -58.76491,66.34524,-88.90205,-57.20309,2,1
LF_D01: 662.2349,64.34524,563.0985,-53.20345,2,1
LF_B02: 1071.237,0.345296,1247.096,-133.2033,2,1
LF_S07: 1234.924,-61.3515,1363.002,-113.6307,2,0
LF_A17: 890.4683,-50.91059,1129.738,-106.3093,2,1
LF_C01: 1143.237,-461.6548,875.0982,-305.2032,0,1
LF_B03: 750.2349,-460.6548,612.0982,-306.2032,0,1
LF_B05: 820.2349,-525.6548,708.1981,-510.6782,1,1
LF_D04: 1034.235,-640.6545,871.0982,-593.2029,1,1
LF_A14: 1262.237,-577.6545,1129.096,-479.2032,1,0
LF_S05: 1253.496,-651.1559,1134.96,-599.5829,1,0
LF_A11: 713.2349,-693.6545,701.0982,-638.2029,1,1
LF_A13: 589.2352,-562.6545,572.0982,-489.2032,1,1
LF_A12: 532.2349,-676.6543,508.0983,-621.2029,1,1
LF_B01: 399.2349,-368.6543,236.0979,-612.2029,1,1
LF_D07: -37.89641,-432.9945,-278.2342,-607.3694,1,1
LF_C02: 375.2346,-457.6549,241.0979,-301.2032,0,1
LF_A02: 46.2349,-457.6548,119.098,-297.2034,0,1
LF_H02: -305.7651,-411.6548,-363.9017,-310.2032,0,1
LF_A01: -719.7651,-341.6548,-497.9023,-243.2031,0,1
LF_E05: -1164.765,-341.6548,-1166.904,-221.2031,0,1
LF_B04: -1686.763,-334.6548,-1400.904,-220.2031,1,1
LF_D08: -1533.994,-163.1927,-1309.956,-45.39734,1,1
LF_S03: -1857.763,-357.6548,-1521.904,-235.2031,1,0
OffScreenDen_LF: -287.7654,1059.346,-380.9017,304.7968,1,1
Connection: GATE_SI_LF,LF_C05,45,9,6,97,0,2
Connection: GATE_LF_SB,LF_C03,45,11,4,15,0,2
Connection: GATE_LF_SB,LF_S04,36,5,15,20,3,2
Connection: GATE_LF_SU,LF_A14,2,9,44,15,2,0
Connection: GATE_LF_FS,LF_Z01,45,11,6,16,0,2
Connection: LF_C05,LF_A07,23,8,23,30,3,1
Connection: LF_A07,LF_F02,9,2,57,95,3,3
Connection: LF_F02,LF_A04,8,11,42,30,3,1
Connection: LF_F02,LF_A06,99,11,5,29,3,1
Connection: LF_A04,LF_E04,5,30,254,5,1,3
Connection: LF_S02,LF_A06,22,14,5,3,0,3
Connection: LF_A06,LF_D03,42,27,2,51,1,2
Connection: LF_E04,LF_A03,17,3,44,32,3,1
Connection: LF_A03,LF_H01,3,30,410,10,1,3
Connection: LF_H01,LF_A05,21,3,43,29,3,1
Connection: LF_H01,LF_A15,194,6,30,27,3,1
Connection: LF_A15,LF_S06,7,7,7,23,3,1
Connection: LF_A05,LF_J01,3,28,253,43,1,3
Connection: LF_A05,LF_D08,9,3,199,31,2,1
Connection: LF_J01,LF_Z01,104,61,107,10,3,3
Connection: LF_J01,LF_C03,18,8,141,11,3,3
Connection: LF_D03,LF_E02,10,4,221,1,3,3
Connection: LF_E02,LF_E03,8,8,241,1,3,0
Connection: LF_E03,LF_A10,7,7,40,1,3,0
Connection: LF_A10,LF_D02,6,1,97,49,2,3
Connection: LF_D02,LF_D06,7,1,42,141,2,0
Connection: LF_D02,LF_E01,98,6,14,7,3,3
Connection: LF_D06,LF_S01,8,143,22,18,1,0
