GATE_MW_LM: 1451.455,374.1434,1017.731,323.9664,1,0
GATE_LM_MW: 573.4563,3071.143,535.7309,2426.966,0,0
GATE_SL_MW: -1054.544,-1888.857,-689.2696,-1485.035,1,0
GATE_IS_MW: 2208.455,-2207.857,1483.731,-1610.035,1,0
MW_5: -1636.545,207.1438,-1105.269,152.9666,0,4
MW_3: -1453.545,290.1435,-980.2691,214.9665,0,4
MW_2: -1605.545,363.1431,-1097.269,294.9664,0,4
MW_1: -1607.545,587.1431,-1098.269,417.9662,0,4
MW_18: -1589.191,873.8095,-999.6131,718.0856,0,4
MW_E01: -1666.634,1418.122,-1114.713,1047.32,0,4
MW_E03: -1664.478,2022.964,-1113.659,1501.395,0,4
MW_E04: -1580.057,2740.284,-1001.858,1972.038,0,4
MW_E05: -1376.823,3072.97,-832.5445,2386.625,0,0
MW_15: -647.7434,3084.025,-675.5564,2439.499,0,0
MW_E06: 232.2547,3074.335,161.0133,2438.605,0,0
MW_E02: -1434.886,1018.288,-889.8736,849.6943,0,4
MW_S09: -1584.993,1055.65,-1003.66,918.3113,0,0
MW_14: -1499.545,62.14357,-1020.269,-58.03355,1,0
MW_13: -1173.545,1.143566,-912.2691,-71.03354,1,1
MW_19: -747.5448,-65.85638,-571.2696,-100.0336,1,1
MW_9: -393.5451,-60.85638,-319.2696,-119.0335,1,1
MW_17: 167.455,-52.8564,-58.26933,-86.03354,1,1
MW_20: 635.4551,-133.8562,488.7305,-212.0334,1,1
MW_21: 924.4552,35.14355,561.7305,12.96668,1,1
MW_31: 1253.455,-105.8563,861.7305,-167.0335,1,1
MW_11: 1596.455,-114.8562,999.7311,-166.0335,1,1
MW_8: 2166.455,-138.8561,1330.731,-179.0335,1,1
MW_27: 1870.455,-396.8565,1243.731,-488.0336,2,2
MW_29: 1715.455,-683.8561,1130.731,-658.0336,2,2
MW_33: 1881.455,-954.8561,1239.731,-796.0338,2,2
MW_32: 1841.455,-1253.856,1251.731,-1088.034,2,2
MW_30: 1686.455,-1515.857,1144.731,-1315.035,2,2
MW_L01: 1836.455,-1874.857,1239.731,-1600.035,2,2
MW_L02: 2112.455,-2099.857,1310.731,-1729.035,2,2
MW_25: 917.4552,204.1438,654.7305,127.9666,1,1
MW_12: 578.4547,77.14357,445.7305,10.96638,1,1
MW_26: 686.4551,209.1438,442.7305,165.9665,1,1
MW_28: 1123.455,377.1434,695.7305,317.9664,1,1
MW_7: -1000.545,-288.8563,-625.2696,-416.0336,2,3
MW_6: -834.5455,-568.8561,-486.2696,-589.0336,2,3
MW_16: -979.5451,-857.8561,-616.2696,-784.0336,2,3
MW_22: -1127.545,-1178.856,-735.2696,-1017.034,2,3
MW_23: -977.5451,-1417.856,-624.2696,-1135.034,2,3
MW_24: -903.5445,-1700.857,-566.2696,-1431.035,2,3
MW_S01: -1302.545,293.1426,-862.2696,219.9667,0,0
MW_S02: -1125.545,128.1437,-778.2688,62.96658,1,0
MW_S03: -831.5455,-1011.857,-498.2696,-812.0338,2,0
MW_S04: -753.5448,-1752.857,-444.2696,-1372.035,2,0
MW_S05: 1229.455,85.14357,876.7305,38.9666,1,0
MW_S06: 2374.455,-2224.857,1621.731,-1604.035,1,0
MW_S07: 2476.443,-77.48101,1660.769,-106.1537,1,0
OffScreenDen_MW: -986.5451,-95.85632,-680.2685,2132.967,1,1
Connection: GATE_MW_LM,MW_28,2,9,142,12,2,0
Connection: GATE_LM_MW,MW_E06,2,9,146,4,2,0
Connection: GATE_SL_MW,MW_24,43,23,9,7,1,2
Connection: GATE_IS_MW,MW_S06,45,9,15,17,0,2
Connection: GATE_IS_MW,MW_L02,36,5,129,5,3,3
Connection: MW_5,MW_3,45,34,1,4,0,2
Connection: MW_5,MW_14,45,4,24,68,0,1
Connection: MW_3,MW_2,1,31,45,4,2,0
Connection: MW_3,MW_S01,45,31,24,18,0,2
Connection: MW_2,MW_1,44,29,45,32,0,0
Connection: MW_1,MW_18,46,103,46,8,0,0
Connection: MW_18,MW_E02,34,67,9,8,3,2
Connection: MW_E01,MW_E03,99,167,89,28,0,0
Connection: MW_E01,MW_E02,100,8,14,67,0,2
Connection: MW_E03,MW_E04,91,176,29,14,0,0
Connection: MW_E04,MW_E05,42,244,5,29,0,2
Connection: MW_E05,MW_15,39,26,9,4,1,3
Connection: MW_15,MW_E06,390,7,4,5,0,2
Connection: MW_E02,MW_S09,9,47,26,15,2,0
Connection: MW_14,MW_13,35,6,5,30,0,2
Connection: MW_13,MW_S02,92,42,22,6,1,3
Connection: MW_13,MW_19,162,14,14,34,3,2
Connection: MW_19,MW_9,110,12,2,20,0,2
Connection: MW_19,MW_7,17,8,45,120,3,0
Connection: MW_9,MW_17,96,43,7,33,1,2
Connection: MW_17,MW_20,252,33,9,67,0,1
Connection: MW_20,MW_21,45,67,3,7,1,3
Connection: MW_21,MW_25,70,31,23,9,1,3
Connection: MW_21,MW_12,1,32,44,25,2,0
Connection: MW_21,MW_S05,148,32,14,18,0,2
Connection: MW_21,MW_31,146,4,16,70,3,1
Connection: MW_31,MW_11,45,67,4,69,0,2
Connection: MW_11,MW_8,150,59,2,69,0,1
Connection: MW_8,MW_S07,146,61,18,17,0,2
Connection: MW_8,MW_27,2,1,44,108,3,1
Connection: MW_27,MW_29,3,12,43,101,2,0
Connection: MW_29,MW_33,37,8,11,65,0,2
Connection: MW_33,MW_32,39,6,39,116,3,1
Connection: MW_32,MW_30,7,36,44,139,2,0
Connection: MW_30,MW_L01,45,9,8,102,0,2
Connection: MW_L01,MW_L02,37,9,5,30,3,2
Connection: MW_25,MW_28,23,68,5,9,1,3
Connection: MW_25,MW_26,3,52,85,30,2,0
Connection: MW_12,MW_26,16,32,7,21,1,3
Connection: MW_7,MW_6,42,24,3,110,0,2
Connection: MW_6,MW_16,3,13,36,107,2,0
Connection: MW_16,MW_S03,45,4,15,17,0,2
Connection: MW_16,MW_22,3,4,44,111,2,0
Connection: MW_22,MW_23,44,8,6,66,0,2
Connection: MW_23,MW_24,23,3,11,106,3,2
Connection: MW_24,MW_S04,52,32,15,17,0,2
