GATE_UW_SS: 1410.387,192.1547,1014.125,172.9008,0,0
GATE_CC_UW: -2707.188,-136.2452,-2018.325,-42.8742,1,0
GATE_SH_UW: 2312.683,-2292.502,1961.11,-1787.722,1,0
GATE_SS_UW: -689.8792,2509.948,-672.6991,2027.26,0,0
GATE_UW_IS: 2613.75,-2353.846,2159.654,-1751.654,1,0
UW_C08: 1095.053,160.0008,693.3761,150.5178,0,2
UW_C07: -1007.607,2526.321,-997.9095,2037.074,0,0
UW_H01: -1855.03,2522.318,-1831.875,2030.907,0,0
UW_A14: -2541.605,2524.321,-1949.909,2032.074,0,0
UW_A12: -2540.603,2405.63,-1949.962,1900.449,0,0
UW_F01: -2837.031,2112.317,-2143.874,1495.908,0,3
UW_A13: -2673.572,1771.712,-1958.739,1450.949,0,3
UW_S03: -2559.879,1771.947,-1839.698,1451.26,0,0
UW_E01: -2836.697,1468.418,-2144.707,1061.976,0,3
UW_A02: -2837.697,1122.417,-2146.707,913.9772,0,3
UW_J01: -2922.697,745.4172,-2263.707,460.9774,0,3
UW_A01: -2832.697,371.4177,-2149.707,333.9772,0,3
UW_D01: -2833.697,67.41768,-2142.707,-47.02264,0,3
UW_D07: -2761.697,-295.5823,-2120.707,-263.0226,0,3
UW_S04: -2670.629,-123.6589,-2004.496,72.8372,0,0
UW_C05: -2371.697,-360.5823,-1881.707,-262.0226,1,0
UW_D06: -1985.696,-288.5823,-1541.707,-271.0226,1,0
UW_S01: -1754.296,-343.7964,-1307.582,-267.8306,1,0
UW_C04: -1595.696,-201.582,-1286.707,-174.0223,0,2
UW_D05: -1004.697,-194.582,-939.7085,-166.0226,0,2
UW_A04: -578.697,-193.582,-457.7079,-168.0226,0,2
UW_C02: -416.6971,-322.5823,-320.7079,-355.0226,0,2
UW_A05: -299.6973,-134.5822,-238.708,-43.02267,0,2
UW_C01: -64.69704,-246.5823,-187.7077,-166.0226,0,2
UW_A03: 208.3027,-129.5822,190.2923,-46.02267,0,2
UW_J02: 625.303,-311.5823,265.2921,-244.0226,0,2
UW_I01: 626.303,44.41777,370.292,0.9772729,0,2
UW_S02: 929.704,-70.79683,696.4184,0.1691827,0,0
UW_A10: 194.969,49.31785,189.1259,77.91087,0,2
UW_A11: 1030.971,37.31785,802.125,71.91087,0,2
UW_A06: 1039.303,-138.5822,807.2923,-145.0226,0,2
UW_E04: 1465.304,-250.5823,933.2926,-170.0224,0,2
UW_A08: 1893.304,-136.5822,1473.293,-116.0226,0,2
UW_C03: 2162.303,-259.5823,1596.293,-184.0223,0,2
UW_D04: 2549.303,-345.5823,1924.293,-278.0226,1,0
UW_B01: 2867.97,-270.7998,2179.067,-187.1774,0,0
UW_S07: 2970.318,-149.9242,2293.81,-57.59496,0,0
UW_D03: 2306.303,-654.5826,1801.293,-589.0228,1,1
UW_A09: 2642.303,-1093.582,2105.293,-729.0228,1,1
UW_S06: 2642.118,-1179.825,2013.952,-809.2546,1,0
UW_E03: 2464.303,-1094.582,1910.293,-904.0223,1,1
